datetime,open,high,low,close,volume
2022-02-11 09:15:00,2107.65,2107.65,1974.0,1974.0,51
2022-02-11 14:30:00,1927.75,1927.75,1927.75,1927.75,25
2022-02-14 09:15:00,1243.95,1243.95,1152.6,1152.6,676
2022-02-14 09:30:00,1110.65,1134.85,1056.5,1071.95,1500
2022-02-14 09:45:00,1045.0,1079.2,1028.8,1069.6,300
2022-02-14 10:00:00,1133.7,1133.7,1066.65,1090.1,375
2022-02-14 10:15:00,1084.5,1084.5,1056.15,1074.0,400
2022-02-14 10:30:00,1118.0,1147.6,1118.0,1147.6,550
2022-02-14 10:45:00,1131.9,1137.0,1119.5,1119.5,425
2022-02-14 11:00:00,1149.9,1156.55,1098.0,1098.0,200
2022-02-14 11:15:00,1082.6,1092.65,1082.6,1092.65,50
2022-02-14 11:30:00,1045.0,1045.0,1000.25,1002.15,225
2022-02-14 11:45:00,1025.0,1025.0,1025.0,1025.0,100
2022-02-14 12:00:00,1032.15,1032.15,1026.2,1026.2,325
2022-02-14 12:15:00,1030.7,1075.0,1030.7,1075.0,100
2022-02-14 12:30:00,1005.65,1005.65,998.85,998.85,150
2022-02-14 13:15:00,1055.0,1055.0,1051.5,1051.5,125
2022-02-14 13:30:00,1024.75,1024.75,996.65,999.05,1050
2022-02-14 13:45:00,983.45,1005.95,961.25,1005.95,450
2022-02-14 14:00:00,950.0,950.0,869.15,881.8,2175
2022-02-14 14:15:00,899.95,919.0,828.05,828.05,1250
2022-02-14 14:30:00,824.3,858.75,776.8,776.8,2100
2022-02-14 14:45:00,776.8,839.0,775.0,832.45,1975
2022-02-14 15:00:00,844.8,853.55,760.0,788.4,1750
2022-02-14 15:15:00,800.0,817.55,758.1,798.55,5700
2022-02-15 09:15:00,799.95,880.9,724.4,754.7,18252
2022-02-15 09:30:00,772.85,787.15,673.2,687.0,9800
2022-02-15 09:45:00,679.75,720.0,652.5,657.0,24150
2022-02-15 10:00:00,654.5,676.0,616.6,670.0,21875
2022-02-15 10:15:00,660.8,720.0,657.65,665.05,25725
2022-02-15 10:30:00,672.0,672.0,619.95,627.95,16350
2022-02-15 10:45:00,629.8,670.0,589.05,670.0,21650
2022-02-15 11:00:00,672.05,759.55,660.0,731.35,30200
2022-02-15 11:15:00,745.0,766.2,705.45,733.9,11025
2022-02-15 11:30:00,740.45,821.95,740.45,781.55,14525
2022-02-15 11:45:00,781.55,862.6,781.55,859.6,13450
2022-02-15 12:00:00,865.3,941.1,834.35,902.0,11350
2022-02-15 12:15:00,905.0,960.3,860.0,863.0,8950
2022-02-15 12:30:00,862.9,935.0,832.5,915.4,5450
2022-02-15 12:45:00,918.9,966.15,896.2,959.2,4100
2022-02-15 13:00:00,951.65,981.95,933.15,961.4,4075
2022-02-15 13:15:00,970.2,970.2,915.5,938.65,1050
2022-02-15 13:30:00,949.05,1158.1,949.05,1151.8,5525
2022-02-15 13:45:00,1158.45,1308.35,1154.15,1295.05,10400
2022-02-15 14:00:00,1309.7,1503.45,1309.7,1440.65,4900
2022-02-15 14:15:00,1485.75,1525.7,1376.0,1400.0,1900
2022-02-15 14:30:00,1424.65,1479.9,1421.35,1453.65,775
2022-02-15 14:45:00,1472.75,1584.85,1460.25,1494.0,1900
2022-02-15 15:00:00,1510.7,1571.9,1508.35,1554.4,450
2022-02-15 15:15:00,1589.85,1595.05,1569.45,1591.8,2250
2022-02-18 09:15:00,1000.0,1088.05,907.2,1060.0,12526
2022-02-18 09:30:00,1087.5,1130.0,980.0,995.0,10300
2022-02-18 09:45:00,1000.0,1021.5,937.05,991.75,3375
2022-02-18 10:00:00,1016.45,1077.05,997.25,1015.75,6175
2022-02-18 10:15:00,1028.0,1057.7,980.0,984.85,725
2022-02-18 10:30:00,996.0,1005.35,942.55,965.25,1525
2022-02-18 10:45:00,957.55,1032.4,950.2,1023.15,1950
2022-02-18 11:00:00,1038.2,1094.85,1029.75,1088.2,1500
2022-02-18 11:15:00,1092.7,1109.5,1025.0,1049.0,2175
2022-02-18 11:30:00,1045.5,1100.0,1037.5,1077.95,5200
2022-02-18 11:45:00,1090.0,1124.55,1076.3,1085.75,1750
2022-02-18 12:00:00,1125.0,1137.85,1069.75,1137.85,1350
2022-02-18 12:15:00,1137.85,1177.6,1125.5,1137.9,2225
2022-02-18 12:30:00,1125.05,1204.05,1125.05,1204.05,1700
2022-02-18 12:45:00,1202.25,1231.9,1200.0,1200.1,750
2022-02-18 13:00:00,1191.5,1209.0,1152.7,1209.0,400
2022-02-18 13:15:00,1196.65,1196.65,1117.05,1117.05,875
2022-02-18 13:30:00,1164.05,1194.6,1164.05,1181.3,5625
2022-02-18 13:45:00,1205.1,1227.45,1199.35,1215.85,875
2022-02-18 14:00:00,1220.15,1220.15,1144.95,1170.0,700
2022-02-18 14:15:00,1123.1,1123.1,1028.75,1052.3,3475
2022-02-18 14:30:00,1053.8,1083.25,1018.0,1028.35,3000
2022-02-18 14:45:00,1031.75,1060.95,1004.8,1034.85,2000
2022-02-18 15:00:00,1045.15,1118.05,1045.15,1079.0,3450
2022-02-18 15:15:00,1069.25,1069.25,1021.7,1053.15,5000
2022-02-18 15:30:00,1059.95,1059.95,1059.95,1059.95,75
2022-02-21 09:15:00,911.9,997.0,785.0,785.0,13676
2022-02-21 09:30:00,780.0,823.05,710.0,769.95,43600
2022-02-21 09:45:00,760.0,881.95,747.05,870.0,25175
2022-02-21 10:00:00,860.0,872.95,788.65,826.8,11500
2022-02-21 10:15:00,821.35,912.1,780.8,901.3,8975
2022-02-21 10:30:00,906.5,1113.2,881.25,1065.1,11750
2022-02-21 10:45:00,1083.5,1134.0,1019.8,1134.0,4350
2022-02-21 11:00:00,1084.7,1122.4,1042.95,1106.2,875
2022-02-21 11:15:00,1115.0,1157.0,1090.85,1138.25,2200
2022-02-21 11:30:00,1157.0,1282.75,1157.0,1282.75,5325
2022-02-21 11:45:00,1275.0,1300.0,1210.0,1237.95,700
2022-02-21 12:00:00,1272.55,1336.0,1272.55,1315.9,1275
2022-02-21 12:15:00,1320.45,1369.8,1250.0,1250.0,700
2022-02-21 12:30:00,1230.5,1308.3,1230.5,1294.2,1150
2022-02-21 12:45:00,1246.0,1311.55,1246.0,1257.95,525
2022-02-21 13:00:00,1325.0,1334.75,1310.05,1313.35,325
2022-02-21 13:15:00,1350.35,1354.9,1251.7,1251.7,2550
2022-02-21 13:30:00,1205.5,1247.85,1179.15,1247.85,925
2022-02-21 13:45:00,1256.25,1265.7,1255.55,1265.7,375
2022-02-21 14:00:00,1225.2,1225.2,1060.95,1071.2,1375
2022-02-21 14:15:00,1050.05,1142.05,1050.0,1090.55,575
2022-02-21 14:30:00,1080.45,1080.45,980.0,1016.1,5850
2022-02-21 14:45:00,1006.05,1117.0,1006.05,1078.15,1325
2022-02-21 15:00:00,1080.9,1080.9,1000.8,1001.4,725
2022-02-21 15:15:00,997.4,1042.95,978.25,1038.1,1750
2022-02-22 09:15:00,606.45,789.85,537.35,627.55,792452
2022-02-22 09:30:00,620.0,685.85,565.0,582.65,389225
2022-02-22 09:45:00,577.8,655.75,569.75,644.95,229250
2022-02-22 10:00:00,639.05,807.55,598.45,632.7,309475
2022-02-22 10:15:00,634.4,687.95,616.6,675.0,158250
