datetime,open,high,low,close,volume
2021-12-30 09:15:00,31.95,43.45,23.5,28.2,231403
2021-12-30 09:30:00,28.1,29.15,25.75,26.55,273150
2021-12-30 09:45:00,26.65,27.25,25.5,26.6,272400
2021-12-30 10:00:00,26.6,28.15,25.75,27.95,145900
2021-12-30 10:15:00,27.8,29.65,26.75,28.8,152500
2021-12-30 10:30:00,28.8,29.3,25.35,25.5,107850
2021-12-30 10:45:00,25.2,26.9,24.55,25.3,124550
2021-12-30 11:00:00,25.25,25.9,23.65,23.85,93850
2021-12-30 11:15:00,23.35,23.6,22.1,22.25,170350
2021-12-30 11:30:00,22.2,22.2,19.0,19.15,166100
2021-12-30 11:45:00,19.4,22.7,19.4,21.5,109400
2021-12-30 12:00:00,21.55,22.6,20.35,20.7,220050
2021-12-30 12:15:00,20.7,22.3,20.1,22.2,183750
2021-12-30 12:30:00,22.1,22.2,20.55,21.5,255750
2021-12-30 12:45:00,21.55,21.75,19.75,20.95,172900
2021-12-30 13:00:00,21.1,22.2,20.6,21.0,217550
2021-12-30 13:15:00,21.0,21.15,18.85,19.6,251800
2021-12-30 13:30:00,19.85,21.45,18.75,20.3,178650
2021-12-30 13:45:00,20.25,21.45,19.7,20.75,105300
2021-12-30 14:00:00,20.85,20.9,18.75,19.25,171500
2021-12-30 14:15:00,19.2,20.4,18.2,19.45,272300
2021-12-30 14:30:00,19.35,20.2,18.1,19.6,212600
2021-12-30 14:45:00,19.6,20.2,18.4,18.55,351150
2021-12-30 15:00:00,18.4,19.4,15.95,18.6,601450
2021-12-30 15:15:00,18.65,18.65,17.5,17.85,609950
2021-12-31 09:15:00,17.85,26.7,15.8,26.55,2435053
2021-12-31 09:30:00,26.55,35.75,26.55,31.6,3045300
2021-12-31 09:45:00,31.75,34.6,28.25,32.65,2123900
2021-12-31 10:00:00,32.45,33.05,29.25,32.5,1527550
2021-12-31 10:15:00,32.65,34.05,28.6,28.9,1063700
2021-12-31 10:30:00,28.8,30.5,28.5,29.75,696250
2021-12-31 10:45:00,29.7,30.8,27.35,27.35,689600
2021-12-31 11:00:00,27.1,30.2,25.7,30.15,872650
2021-12-31 11:15:00,30.25,31.55,28.5,28.65,754100
2021-12-31 11:30:00,28.65,32.65,28.4,31.5,741400
2021-12-31 11:45:00,31.6,33.65,31.1,33.25,1012000
2021-12-31 12:00:00,33.25,33.5,30.35,31.25,535150
2021-12-31 12:15:00,31.25,32.6,29.65,30.75,658500
2021-12-31 12:30:00,30.5,34.05,30.3,33.8,749550
2021-12-31 12:45:00,33.9,38.55,33.9,35.65,1405250
2021-12-31 13:00:00,35.75,39.75,35.0,38.6,1068050
2021-12-31 13:15:00,38.65,40.0,35.85,36.7,1099900
2021-12-31 13:30:00,36.85,38.75,36.05,36.3,668050
2021-12-31 13:45:00,36.5,37.95,35.25,36.4,702400
2021-12-31 14:00:00,36.4,37.8,29.65,31.75,1759500
2021-12-31 14:15:00,31.75,32.5,30.05,30.65,1404100
2021-12-31 14:30:00,30.5,33.35,30.2,32.9,945800
2021-12-31 14:45:00,32.85,34.05,30.75,32.45,980800
2021-12-31 15:00:00,32.2,32.4,28.85,30.85,1615650
2021-12-31 15:15:00,31.0,34.0,30.85,33.0,1624700
2021-12-31 15:30:00,33.0,33.0,33.0,33.0,600
2022-01-03 09:15:00,32.95,50.95,16.5,45.9,4859803
2022-01-03 09:30:00,45.75,47.05,41.3,42.35,2148600
2022-01-03 09:45:00,42.4,49.9,41.75,48.95,3337150
2022-01-03 10:00:00,49.0,51.7,46.6,50.4,1811650
2022-01-03 10:15:00,50.65,58.7,47.3,56.4,2728950
2022-01-03 10:30:00,56.55,60.3,54.7,56.45,2394400
2022-01-03 10:45:00,56.25,58.85,55.0,58.45,1436200
2022-01-03 11:00:00,58.45,61.45,55.65,61.25,1901250
2022-01-03 11:15:00,61.25,62.7,58.1,61.15,2074550
2022-01-03 11:30:00,61.05,62.0,57.45,60.8,1372450
2022-01-03 11:45:00,60.7,61.45,59.15,61.35,1083200
2022-01-03 12:00:00,61.6,62.0,58.5,60.25,1299350
2022-01-03 12:15:00,60.15,67.7,60.0,66.95,2418600
2022-01-03 12:30:00,67.3,96.75,67.0,87.75,5216900
2022-01-03 12:45:00,87.45,90.35,81.65,86.55,3017950
2022-01-03 13:00:00,86.3,90.95,85.05,88.9,2050500
2022-01-03 13:15:00,88.75,93.7,88.0,90.1,2656750
2022-01-03 13:30:00,89.8,91.1,82.35,87.35,2553150
2022-01-03 13:45:00,87.55,95.9,87.55,95.05,3129950
2022-01-03 14:00:00,95.0,108.4,94.45,106.75,4198950
2022-01-03 14:15:00,106.8,125.0,105.75,121.75,4858100
2022-01-03 14:30:00,121.35,130.9,115.85,127.5,3632350
2022-01-03 14:45:00,127.55,129.5,113.25,116.3,3311400
2022-01-03 15:00:00,116.15,124.55,112.4,122.85,3046050
2022-01-03 15:15:00,122.6,135.0,121.4,135.0,2931750
2022-01-03 15:30:00,130.0,130.0,130.0,130.0,2000
2022-01-04 09:15:00,142.0,167.0,128.25,152.3,5272052
2022-01-04 09:30:00,150.75,156.4,96.9,129.0,6208300
2022-01-04 09:45:00,129.85,153.85,126.1,153.25,3265700
2022-01-04 10:00:00,153.1,170.0,143.5,170.0,2201500
2022-01-04 10:15:00,170.0,174.9,151.65,158.95,2046200
2022-01-04 10:30:00,159.9,167.4,144.85,144.85,1109600
2022-01-04 10:45:00,144.85,161.35,139.9,157.7,1296100
2022-01-04 11:00:00,157.85,161.95,143.75,145.55,773600
2022-01-04 11:15:00,145.25,151.5,125.05,138.35,1236600
2022-01-04 11:30:00,138.2,155.55,132.0,153.65,918300
2022-01-04 11:45:00,153.7,161.0,145.85,155.95,876850
2022-01-04 12:00:00,155.9,167.75,151.35,167.45,1038150
2022-01-04 12:15:00,169.0,169.65,155.85,163.3,934950
2022-01-04 12:30:00,162.8,174.0,156.25,171.5,997300
2022-01-04 12:45:00,171.55,173.85,156.95,167.25,730500
2022-01-04 13:00:00,167.5,170.65,147.0,153.0,742000
2022-01-04 13:15:00,153.2,160.4,142.0,160.2,1109050
2022-01-04 13:30:00,159.8,164.75,134.2,134.2,1279750
2022-01-04 13:45:00,133.75,152.4,130.0,150.25,1406200
2022-01-04 14:00:00,150.4,166.15,148.8,161.1,1209950
2022-01-04 14:15:00,161.4,172.6,161.0,169.4,1055750
2022-01-04 14:30:00,169.5,201.3,168.4,199.95,1888750
2022-01-04 14:45:00,201.0,208.8,193.0,204.25,1252400
2022-01-04 15:00:00,202.85,220.9,202.7,219.55,1164350
2022-01-04 15:15:00,219.6,252.0,216.0,234.35,1562350
2022-01-05 09:15:00,220.0,238.75,186.0,231.75,1088052
2022-01-05 09:30:00,230.75,230.75,175.0,209.05,741800
2022-01-05 09:45:00,208.85,251.95,207.8,249.4,778800
2022-01-05 10:00:00,251.0,258.2,235.95,251.55,586450
2022-01-05 10:15:00,252.1,256.0,234.35,234.6,374100
2022-01-05 10:30:00,231.3,247.45,224.9,236.8,559050
2022-01-05 10:45:00,235.65,236.85,204.8,222.2,406700
2022-01-05 11:00:00,224.4,232.15,208.5,212.6,220800
2022-01-05 11:15:00,213.15,257.65,207.05,253.35,537050
2022-01-05 11:30:00,252.6,253.8,240.65,246.05,250700
2022-01-05 11:45:00,245.1,252.0,230.7,248.05,336300
2022-01-05 12:00:00,248.7,273.95,241.15,269.3,330650
2022-01-05 12:15:00,270.15,282.8,266.3,276.6,235450
2022-01-05 12:30:00,277.15,304.75,276.55,301.5,216350
2022-01-05 12:45:00,302.0,326.55,291.0,320.0,165250
2022-01-05 13:00:00,319.4,339.75,310.35,338.0,156050
2022-01-05 13:15:00,338.3,340.8,295.9,320.0,119400
2022-01-05 13:30:00,322.0,343.0,321.75,338.75,220100
2022-01-05 13:45:00,339.7,346.7,320.85,340.0,73150
2022-01-05 14:00:00,340.0,343.2,316.25,324.25,47450
2022-01-05 14:15:00,323.2,351.5,323.2,336.4,77750
2022-01-05 14:30:00,335.3,350.95,331.55,339.2,181400
2022-01-05 14:45:00,338.2,348.0,301.75,310.0,77800
2022-01-05 15:00:00,310.0,352.7,310.0,339.65,235500
2022-01-05 15:15:00,339.3,340.7,309.6,316.65,131950
2022-01-06 09:15:00,205.85,224.7,137.5,138.05,1281203
2022-01-06 09:30:00,135.6,146.0,99.8,136.9,2787750
2022-01-06 09:45:00,135.75,144.8,112.5,125.0,1210350
2022-01-06 10:00:00,123.25,143.35,121.7,129.75,925350
2022-01-06 10:15:00,130.25,136.85,102.65,103.75,995700
2022-01-06 10:30:00,103.95,117.4,83.85,86.15,1733650
2022-01-06 10:45:00,86.2,102.45,78.25,102.4,2184000
2022-01-06 11:00:00,102.4,102.65,87.45,87.45,1284000
2022-01-06 11:15:00,86.8,115.0,85.0,104.7,1985900
2022-01-06 11:30:00,104.5,112.45,91.1,102.75,1413250
2022-01-06 11:45:00,102.5,103.85,91.65,101.35,1125750
2022-01-06 12:00:00,101.45,105.5,73.45,87.65,2286850
2022-01-06 12:15:00,88.3,90.3,66.65,70.45,2707400
2022-01-06 12:30:00,70.55,96.1,64.5,95.0,2921200
2022-01-06 12:45:00,94.4,119.1,90.4,115.0,2366650
2022-01-06 13:00:00,116.2,123.0,98.8,114.3,2211750
2022-01-06 13:15:00,112.75,121.45,92.25,104.5,1749800
2022-01-06 13:30:00,104.15,161.75,104.15,141.75,2822250
2022-01-06 13:45:00,143.0,147.2,106.45,114.0,1525000
2022-01-06 14:00:00,113.05,134.5,109.15,127.95,1295500
2022-01-06 14:15:00,129.35,173.6,124.25,171.4,1339500
2022-01-06 14:30:00,170.3,191.85,160.6,179.55,984250
2022-01-06 14:45:00,178.9,182.4,151.1,157.0,658050
2022-01-06 15:00:00,156.0,171.4,140.35,144.1,609750
2022-01-06 15:15:00,144.25,149.05,136.5,145.6,690400
2022-01-06 15:30:00,145.6,145.6,145.6,145.6,100
